Order,Variable,Description,Category,Hierarchy Level,Hierarchy Description,Nearest Parent,Data Vintage,Root Formula,Type,Size,Part
0,CODE,,Geography,0,,,2020,,V_String,16,_0
0,GEO,,Geography,0,,,2020,,V_String,16,_0
1,EHYBASPOP,Total Population,Basics,0,Total Population,,2020,[EHYBASPOP],Int32,4,_5
2,EHYBASHHD,Total Private Occupied Dwellings (Households),Basics,0,Total Private Occupied Dwellings (Households),,2020,[EHYBASHHD],Int32,4,_5
3,EHYBASHPOP,Total Population Living In Households (Household Population),Basics,0,Total Population Living In Households (Household Population),,2020,[EHYBASHPOP],Int32,4,_5
4,EHYBAS12P,Total Population 12 Year Or Over,Basics,0,Total Population 12 Year Or Over,,2020,[EHYBAS12P],Int32,4,_5
5,EHYBAS15P,Total Population 15 Years Or Over,Basics,0,Total Population 15 Years Or Over,,2020,[EHYBAS15P],Int32,4,_5
6,EHYBAS18P,Total Population 18 Years Or Over,Basics,0,Total Population 18 Years Or Over,,2020,[EHYBAS18P],Int32,4,_5
7,EHYBAS19P,Total Population 19 Years Or Over,Basics,0,Total Population 19 Years Or Over,,2020,[EHYBAS19P],Int32,4,_5
8,EHYBAS12HP,Total Household Population 12 Years Or Over,Basics,0,Total Household Population 12 Years Or Over,,2020,[EHYBAS12HP],Int32,4,_5
9,EHYBAS15HP,Total Household Population 15 Years Or Over,Basics,0,Total Household Population 15 Years Or Over,,2020,[EHYBAS15HP],Int32,4,_5
10,EHYBAS18HP,Total Household Population 18 Years Or Over,Basics,0,Total Household Population 18 Years Or Over,,2020,[EHYBAS18HP],Int32,4,_5
11,EHYBAS19HP,Total Household Population 19 Years Or Over,Basics,0,Total Household Population 19 Years Or Over,,2020,[EHYBAS19HP],Int32,4,_5
12,EHYBASTNGH,Total Household Population 12 To 17,Basics,0,Total Household Population 12 To 17,,2020,[EHYBASTNGH],Int32,4,_5
13,EHYBASADUH,Total Household Population 25 To 64,Basics,0,Total Household Population 25 To 64,,2020,[EHYBASADUH],Int32,4,_5
14,EHYBASCF,Total Census Families,Basics,0,Total Census Families,,2020,[EHYBASCF],Int32,4,_5
15,EHYBASCFH,Total Census Family Households,Basics,0,Total Census Family Households,,2020,[EHYBASCFH],Int32,4,_5
16,EHYBASKID,Total Children Living In Households (Children At Home),Basics,0,Total Children Living In Households (Children At Home),,2020,[EHYBASKID],Int32,4,_5
17,EHYBASLF,Total Household Population 15 Years Or Over In The Labour Force,Basics,0,Total Household Population 15 Years Or Over In The Labour Force,,2020,[EHYBASLF],Int32,4,_5
18,EHYPTAPOP,Total Population,Total Population by Age,0,Total Population,,2020,[EHYPTAPOP],Int32,4,_5
19,EHYPTA_0_4,Total 0 To 4,Total Population by Age,1,    Total 0 To 4,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
20,EHYPTA_5_9,Total 5 To 9,Total Population by Age,1,    Total 5 To 9,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
21,EHYPTA1014,Total 10 To 14,Total Population by Age,1,    Total 10 To 14,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
22,EHYPTA1519,Total 15 To 19,Total Population by Age,1,    Total 15 To 19,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
23,EHYPTA2024,Total 20 To 24,Total Population by Age,1,    Total 20 To 24,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
24,EHYPTA2529,Total 25 To 29,Total Population by Age,1,    Total 25 To 29,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
25,EHYPTA3034,Total 30 To 34,Total Population by Age,1,    Total 30 To 34,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
26,EHYPTA3539,Total 35 To 39,Total Population by Age,1,    Total 35 To 39,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
27,EHYPTA4044,Total 40 To 44,Total Population by Age,1,    Total 40 To 44,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
28,EHYPTA4549,Total 45 To 49,Total Population by Age,1,    Total 45 To 49,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
29,EHYPTA5054,Total 50 To 54,Total Population by Age,1,    Total 50 To 54,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
30,EHYPTA5559,Total 55 To 59,Total Population by Age,1,    Total 55 To 59,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
31,EHYPTA6064,Total 60 To 64,Total Population by Age,1,    Total 60 To 64,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
32,EHYPTA6569,Total 65 To 69,Total Population by Age,1,    Total 65 To 69,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
33,EHYPTA7074,Total 70 To 74,Total Population by Age,1,    Total 70 To 74,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
34,EHYPTA7579,Total 75 To 79,Total Population by Age,1,    Total 75 To 79,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
35,EHYPTA8084,Total 80 To 84,Total Population by Age,1,    Total 80 To 84,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
36,EHYPTA85P,Total 85 Or Older,Total Population by Age,1,    Total 85 Or Older,EHYPTAPOP,2020,[EHYPTAPOP],Int32,4,_5
37,EHYPTAAVG,Average Age Of Total Population,Total Population by Age,0,Average Age Of Total Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
38,EHYPTAMED,Median Age Of Total Population,Total Population by Age,0,Median Age Of Total Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
39,EHYPMAPOP,Males,Male Population by Age,0,Males,,2020,[EHYPTAPOP],Int32,4,_5
40,EHYPMA_0_4,Males 0 To 4,Male Population by Age,1,    Males 0 To 4,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
41,EHYPMA_5_9,Males 5 To 9,Male Population by Age,1,    Males 5 To 9,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
42,EHYPMA1014,Males 10 To 14,Male Population by Age,1,    Males 10 To 14,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
43,EHYPMA1519,Males 15 To 19,Male Population by Age,1,    Males 15 To 19,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
44,EHYPMA2024,Males 20 To 24,Male Population by Age,1,    Males 20 To 24,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
45,EHYPMA2529,Males 25 To 29,Male Population by Age,1,    Males 25 To 29,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
46,EHYPMA3034,Males 30 To 34,Male Population by Age,1,    Males 30 To 34,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
47,EHYPMA3539,Males 35 To 39,Male Population by Age,1,    Males 35 To 39,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
48,EHYPMA4044,Males 40 To 44,Male Population by Age,1,    Males 40 To 44,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
49,EHYPMA4549,Males 45 To 49,Male Population by Age,1,    Males 45 To 49,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
50,EHYPMA5054,Males 50 To 54,Male Population by Age,1,    Males 50 To 54,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
51,EHYPMA5559,Males 55 To 59,Male Population by Age,1,    Males 55 To 59,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
52,EHYPMA6064,Males 60 To 64,Male Population by Age,1,    Males 60 To 64,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
53,EHYPMA6569,Males 65 To 69,Male Population by Age,1,    Males 65 To 69,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
54,EHYPMA7074,Males 70 To 74,Male Population by Age,1,    Males 70 To 74,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
55,EHYPMA7579,Males 75 To 79,Male Population by Age,1,    Males 75 To 79,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
56,EHYPMA8084,Males 80 To 84,Male Population by Age,1,    Males 80 To 84,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
57,EHYPMA85P,Males 85 Or Older,Male Population by Age,1,    Males 85 Or Older,EHYPMAPOP,2020,[EHYPTAPOP],Int32,4,_5
58,EHYPMAAVG,Average Age Of Male Population,Male Population by Age,0,Average Age Of Male Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
59,EHYPMAMED,Median Age Of Male Population,Male Population by Age,0,Median Age Of Male Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
60,EHYPFAPOP,Females,Female Population by Age,0,Females,,2020,[EHYPTAPOP],Int32,4,_5
61,EHYPFA_0_4,Females 0 To 4,Female Population by Age,1,    Females 0 To 4,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
62,EHYPFA_5_9,Females 5 To 9,Female Population by Age,1,    Females 5 To 9,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
63,EHYPFA1014,Females 10 To 14,Female Population by Age,1,    Females 10 To 14,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
64,EHYPFA1519,Females 15 To 19,Female Population by Age,1,    Females 15 To 19,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
65,EHYPFA2024,Females 20 To 24,Female Population by Age,1,    Females 20 To 24,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
66,EHYPFA2529,Females 25 To 29,Female Population by Age,1,    Females 25 To 29,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
67,EHYPFA3034,Females 30 To 34,Female Population by Age,1,    Females 30 To 34,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
68,EHYPFA3539,Females 35 To 39,Female Population by Age,1,    Females 35 To 39,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
69,EHYPFA4044,Females 40 To 44,Female Population by Age,1,    Females 40 To 44,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
70,EHYPFA4549,Females 45 To 49,Female Population by Age,1,    Females 45 To 49,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
71,EHYPFA5054,Females 50 To 54,Female Population by Age,1,    Females 50 To 54,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
72,EHYPFA5559,Females 55 To 59,Female Population by Age,1,    Females 55 To 59,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
73,EHYPFA6064,Females 60 To 64,Female Population by Age,1,    Females 60 To 64,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
74,EHYPFA6569,Females 65 To 69,Female Population by Age,1,    Females 65 To 69,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
75,EHYPFA7074,Females 70 To 74,Female Population by Age,1,    Females 70 To 74,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
76,EHYPFA7579,Females 75 To 79,Female Population by Age,1,    Females 75 To 79,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
77,EHYPFA8084,Females 80 To 84,Female Population by Age,1,    Females 80 To 84,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
78,EHYPFA85P,Females 85 Or Older,Female Population by Age,1,    Females 85 Or Older,EHYPFAPOP,2020,[EHYPTAPOP],Int32,4,_5
79,EHYPFAAVG,Average Age Of Female Population,Female Population by Age,0,Average Age Of Female Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
80,EHYPFAMED,Median Age Of Female Population,Female Population by Age,0,Median Age Of Female Population,,2020,[EHYPTAPOP],FixedDecimal,12.1,_5
81,EHYHTAHPOP,Household Population,Total Household Population by Age,0,Household Population,,2020,[EHYHTAHPOP],Int32,4,_5
82,EHYHTA_0_4,Household Population 0 To 4,Total Household Population by Age,1,    Household Population 0 To 4,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
83,EHYHTA_5_9,Household Population 5 To 9,Total Household Population by Age,1,    Household Population 5 To 9,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
84,EHYHTA1014,Household Population 10 To 14,Total Household Population by Age,1,    Household Population 10 To 14,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
85,EHYHTA1519,Household Population 15 To 19,Total Household Population by Age,1,    Household Population 15 To 19,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
86,EHYHTA2024,Household Population 20 To 24,Total Household Population by Age,1,    Household Population 20 To 24,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
87,EHYHTA2529,Household Population 25 To 29,Total Household Population by Age,1,    Household Population 25 To 29,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
88,EHYHTA3034,Household Population 30 To 34,Total Household Population by Age,1,    Household Population 30 To 34,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
89,EHYHTA3539,Household Population 35 To 39,Total Household Population by Age,1,    Household Population 35 To 39,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
90,EHYHTA4044,Household Population 40 To 44,Total Household Population by Age,1,    Household Population 40 To 44,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
91,EHYHTA4549,Household Population 45 To 49,Total Household Population by Age,1,    Household Population 45 To 49,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
92,EHYHTA5054,Household Population 50 To 54,Total Household Population by Age,1,    Household Population 50 To 54,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
93,EHYHTA5559,Household Population 55 To 59,Total Household Population by Age,1,    Household Population 55 To 59,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
94,EHYHTA6064,Household Population 60 To 64,Total Household Population by Age,1,    Household Population 60 To 64,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
95,EHYHTA6569,Household Population 65 To 69,Total Household Population by Age,1,    Household Population 65 To 69,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
96,EHYHTA7074,Household Population 70 To 74,Total Household Population by Age,1,    Household Population 70 To 74,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
97,EHYHTA7579,Household Population 75 To 79,Total Household Population by Age,1,    Household Population 75 To 79,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
98,EHYHTA8084,Household Population 80 To 84,Total Household Population by Age,1,    Household Population 80 To 84,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
99,EHYHTA85P,Household Population 85 Or Older,Total Household Population by Age,1,    Household Population 85 Or Older,EHYHTAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
100,EHYHTAAVG,Average Age Of Total Household Population,Total Household Population by Age,0,Average Age Of Total Household Population,,2020,[EHYHTAHPOP],FixedDecimal,12.1,_5
101,EHYHTAMED,Median Age Of Total Household Population,Total Household Population by Age,0,Median Age Of Total Household Population,,2020,[EHYHTAHPOP],FixedDecimal,12.1,_5
102,EHYHMAHPOP,Household Population Male,Male Household Population by Age,0,Household Population Male,,2020,[EHYHTAHPOP],Int32,4,_5
103,EHYHMA_0_4,Household Population Male 0 To 4,Male Household Population by Age,1,    Household Population Male 0 To 4,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
104,EHYHMA_5_9,Household Population Male 5 To 9,Male Household Population by Age,1,    Household Population Male 5 To 9,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
105,EHYHMA1014,Household Population Male 10 To 14,Male Household Population by Age,1,    Household Population Male 10 To 14,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
106,EHYHMA1519,Household Population Male 15 To 19,Male Household Population by Age,1,    Household Population Male 15 To 19,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
107,EHYHMA2024,Household Population Male 20 To 24,Male Household Population by Age,1,    Household Population Male 20 To 24,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
108,EHYHMA2529,Household Population Male 25 To 29,Male Household Population by Age,1,    Household Population Male 25 To 29,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
109,EHYHMA3034,Household Population Male 30 To 34,Male Household Population by Age,1,    Household Population Male 30 To 34,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
110,EHYHMA3539,Household Population Male 35 To 39,Male Household Population by Age,1,    Household Population Male 35 To 39,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
111,EHYHMA4044,Household Population Male 40 To 44,Male Household Population by Age,1,    Household Population Male 40 To 44,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
112,EHYHMA4549,Household Population Male 45 To 49,Male Household Population by Age,1,    Household Population Male 45 To 49,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
113,EHYHMA5054,Household Population Male 50 To 54,Male Household Population by Age,1,    Household Population Male 50 To 54,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
114,EHYHMA5559,Household Population Male 55 To 59,Male Household Population by Age,1,    Household Population Male 55 To 59,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
115,EHYHMA6064,Household Population Male 60 To 64,Male Household Population by Age,1,    Household Population Male 60 To 64,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
116,EHYHMA6569,Household Population Male 65 To 69,Male Household Population by Age,1,    Household Population Male 65 To 69,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
117,EHYHMA7074,Household Population Male 70 To 74,Male Household Population by Age,1,    Household Population Male 70 To 74,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
118,EHYHMA7579,Household Population Male 75 To 79,Male Household Population by Age,1,    Household Population Male 75 To 79,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
119,EHYHMA8084,Household Population Male 80 To 84,Male Household Population by Age,1,    Household Population Male 80 To 84,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
120,EHYHMA85P,Household Population Male 85 Or Older,Male Household Population by Age,1,    Household Population Male 85 Or Older,EHYHMAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
121,EHYHMAAVG,Average Age Of Household Population Male,Male Household Population by Age,0,Average Age Of Household Population Male,,2020,[EHYHTAHPOP],FixedDecimal,12.1,_5
122,EHYHMAMED,Median Age Of Household Population Male,Male Household Population by Age,0,Median Age Of Household Population Male,,2020,[EHYHTAHPOP],FixedDecimal,12.1,_5
123,EHYHFAHPOP,Household Population Female,Female Household Population by Age,0,Household Population Female,,2020,[EHYHTAHPOP],Int32,4,_5
124,EHYHFA_0_4,Household Population Female 0 To 4,Female Household Population by Age,1,    Household Population Female 0 To 4,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
125,EHYHFA_5_9,Household Population Female 5 To 9,Female Household Population by Age,1,    Household Population Female 5 To 9,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
126,EHYHFA1014,Household Population Female 10 To 14,Female Household Population by Age,1,    Household Population Female 10 To 14,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
127,EHYHFA1519,Household Population Female 15 To 19,Female Household Population by Age,1,    Household Population Female 15 To 19,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
128,EHYHFA2024,Household Population Female 20 To 24,Female Household Population by Age,1,    Household Population Female 20 To 24,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
129,EHYHFA2529,Household Population Female 25 To 29,Female Household Population by Age,1,    Household Population Female 25 To 29,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
130,EHYHFA3034,Household Population Female 30 To 34,Female Household Population by Age,1,    Household Population Female 30 To 34,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
131,EHYHFA3539,Household Population Female 35 To 39,Female Household Population by Age,1,    Household Population Female 35 To 39,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
132,EHYHFA4044,Household Population Female 40 To 44,Female Household Population by Age,1,    Household Population Female 40 To 44,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
133,EHYHFA4549,Household Population Female 45 To 49,Female Household Population by Age,1,    Household Population Female 45 To 49,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
134,EHYHFA5054,Household Population Female 50 To 54,Female Household Population by Age,1,    Household Population Female 50 To 54,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
135,EHYHFA5559,Household Population Female 55 To 59,Female Household Population by Age,1,    Household Population Female 55 To 59,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
136,EHYHFA6064,Household Population Female 60 To 64,Female Household Population by Age,1,    Household Population Female 60 To 64,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
137,EHYHFA6569,Household Population Female 65 To 69,Female Household Population by Age,1,    Household Population Female 65 To 69,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
138,EHYHFA7074,Household Population Female 70 To 74,Female Household Population by Age,1,    Household Population Female 70 To 74,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
139,EHYHFA7579,Household Population Female 75 To 79,Female Household Population by Age,1,    Household Population Female 75 To 79,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
140,EHYHFA8084,Household Population Female 80 To 84,Female Household Population by Age,1,    Household Population Female 80 To 84,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
141,EHYHFA85P,Household Population Female 85 Or Older,Female Household Population by Age,1,    Household Population Female 85 Or Older,EHYHFAHPOP,2020,[EHYHTAHPOP],Int32,4,_5
142,EHYHFAAVG,Average Age Of Household Population Female,Female Household Population by Age,0,Average Age Of Household Population Female,,2020,[EHYHTAHPOP],FixedDecimal,12.1,_5
143,EHYHFAMED,Median Age Of Household Population Female,Female Household Population by Age,0,Median Age Of Household Population Female,,2020,[EHYHTAHPOP],FixedDecimal,12.1,_5
144,EHYMTNHHD,Total Households For Maintainer Ages,Households by Maintainer Age,0,Total Households For Maintainer Ages,,2020,[EHYMTNHHD],Int32,4,_5
145,EHYMTN1524,Maintainers 15 To 24,Households by Maintainer Age,1,    Maintainers 15 To 24,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
146,EHYMTN2534,Maintainers 25 To 34,Households by Maintainer Age,1,    Maintainers 25 To 34,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
147,EHYMTN3544,Maintainers 35 To 44,Households by Maintainer Age,1,    Maintainers 35 To 44,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
148,EHYMTN4554,Maintainers 45 To 54,Households by Maintainer Age,1,    Maintainers 45 To 54,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
149,EHYMTN5564,Maintainers 55 To 64,Households by Maintainer Age,1,    Maintainers 55 To 64,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
150,EHYMTN6574,Maintainers 65 To 74,Households by Maintainer Age,1,    Maintainers 65 To 74,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
151,EHYMTN7584,Maintainers 75 To 84,Households by Maintainer Age,1,    Maintainers 75 To 84,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
152,EHYMTN85P,Maintainers 85 Or Older,Households by Maintainer Age,1,    Maintainers 85 Or Older,EHYMTNHHD,2020,[EHYMTNHHD],Int32,4,_5
153,EHYMTNAVG,Average Maintainer Age,Households by Maintainer Age,0,Average Maintainer Age,,2020,[EHYMTNHHD],FixedDecimal,12.1,_5
154,EHYMTNMED,Median Maintainer Age,Households by Maintainer Age,0,Median Maintainer Age,,2020,[EHYMTNHHD],FixedDecimal,12.1,_5
155,EHYHSZHHD,Total Households For Household Size,Households by Size of Household,0,Total Households For Household Size,,2020,[EHYHSZHHD],Int32,4,_5
156,EHYHSZ1PER,1 Person,Households by Size of Household,1,    1 Person,EHYHSZHHD,2020,[EHYHSZHHD],Int32,4,_5
157,EHYHSZ2PER,2 Persons,Households by Size of Household,1,    2 Persons,EHYHSZHHD,2020,[EHYHSZHHD],Int32,4,_5
158,EHYHSZ3PER,3 Persons,Households by Size of Household,1,    3 Persons,EHYHSZHHD,2020,[EHYHSZHHD],Int32,4,_5
159,EHYHSZ4PER,4 Persons,Households by Size of Household,1,    4 Persons,EHYHSZHHD,2020,[EHYHSZHHD],Int32,4,_5
160,EHYHSZ5PER,5 Or More Persons,Households by Size of Household,1,    5 Or More Persons,EHYHSZHHD,2020,[EHYHSZHHD],Int32,4,_5
161,EHYHSZTPER,Number Of Persons In Private Households,Households by Size of Household,1,    Number Of Persons In Private Households,EHYHSZTPER,2020,[EHYHSZHHD],Int32,4,_5
162,EHYHSZAVG,Average Number Of Persons In Private Households,Households by Size of Household,0,Average Number Of Persons In Private Households,,2020,[EHYHSZHHD],FixedDecimal,12.1,_5
163,EHYHTYHHD,Total Households For Household Type,Households by Household Type,0,Total Households For Household Type,,2020,[EHYHTYHHD],Int32,4,_5
164,EHYHTYFHT,Total Family Households,Households by Household Type,1,    Total Family Households,EHYHTYHHD,2020,[EHYHTYHHD],Int32,4,_5
165,EHYHTY1FH,One-Family Households,Households by Household Type,2,        One-Family Households,EHYHTYFHT,2020,[EHYHTYHHD],Int32,4,_5
166,EHYHTY1FHP,One-Family Households With Additional Persons,Households by Household Type,3,            One-Family Households With Additional Persons,EHYHTY1FH,2020,[EHYHTYHHD],Int32,4,_5
167,EHYHTY1FHNP,One-Family Households Without Additional Persons,Households by Household Type,3,            One-Family Households Without Additional Persons,EHYHTY1FH,2020,[EHYHTYHHD],Int32,4,_5
168,EHYHTYMGFH,Multigenerational Family Households,Households by Household Type,2,        Multigenerational Family Households,EHYHTYFHT,2020,[EHYHTYHHD],Int32,4,_5
169,EHYHTYMFH,Multiple-Family Households,Households by Household Type,2,        Multiple-Family Households,EHYHTYFHT,2020,[EHYHTYHHD],Int32,4,_5
170,EHYHTYNFH,Non-Family Households,Households by Household Type,1,    Non-Family Households,EHYHTYHHD,2020,[EHYHTYHHD],Int32,4,_5
171,EHYHTY1PH,One-Person Households,Households by Household Type,2,        One-Person Households,EHYHTYNFH,2020,[EHYHTYHHD],Int32,4,_5
172,EHYHTYN65A,People 65 Years Or Over Living Alone,Households by Household Type,3,            People 65 Years Or Over Living Alone,EHYHTY1PH,2020,[EHYHTYHHD],Int32,4,_5
173,EHYHTY2PPH,Two-Or-More-Person Households,Households by Household Type,2,        Two-Or-More-Person Households,EHYHTYNFH,2020,[EHYHTYHHD],Int32,4,_5
174,EHYMARHP15,Household Population 15 Years Or Over,Household Population 15 Years or Over by Marital Status,0,Household Population 15 Years Or Over,,2020,[EHYMARHP15],Int32,4,_5
175,EHYMARMCL,Married Or Living With A Common-Law Partner,Household Population 15 Years or Over by Marital Status,1,    Married Or Living With A Common-Law Partner,EHYMARHP15,2020,[EHYMARHP15],Int32,4,_5
176,EHYMARM,Married (And Not Separated),Household Population 15 Years or Over by Marital Status,2,        Married (And Not Separated),EHYMARMCL,2020,[EHYMARHP15],Int32,4,_5
177,EHYMARCL,Living Common Law,Household Population 15 Years or Over by Marital Status,2,        Living Common Law,EHYMARMCL,2020,[EHYMARHP15],Int32,4,_5
178,EHYMARNMCL,Not Married And Not Living With A Common-Law Partner,Household Population 15 Years or Over by Marital Status,1,    Not Married And Not Living With A Common-Law Partner,EHYMARHP15,2020,[EHYMARHP15],Int32,4,_5
179,EHYMARSING,Single (Never Legally Married),Household Population 15 Years or Over by Marital Status,2,        Single (Never Legally Married),EHYMARNMCL,2020,[EHYMARHP15],Int32,4,_5
180,EHYMARSEP,Separated,Household Population 15 Years or Over by Marital Status,2,        Separated,EHYMARNMCL,2020,[EHYMARHP15],Int32,4,_5
