Order,Variable,Description,Category,Hierarchy Level,Hierarchy Description,RootFormula,Type,Size,Part
55,HSCS003,Telephone services and equipment,Household Operations,6,Telephone services and equipment,[HSHO001],Double,8,1
56,HSCS004,Landline telephone services,Household Operations,7,Landline telephone services,[HSHO001],Double,8,1
57,HSCS005,Cell phone and pager services,Household Operations,7,Cell phone and pager services,[HSHO001],Double,8,1
58,HSCS021,Telephones and other equipment,Household Operations,7,Telephones and other equipment,[HSHO001],Double,8,1
59,HSCS007,Internet access services,Household Operations,6,Internet access services,[HSHO001],Double,8,1
60,HSCS008,Digital services,Household Operations,6,Digital services,[HSHO001],Double,8,1
61,HSCS020,"Postal, courier, delivery and other communication services",Household Operations,6,"Postal, courier, delivery and other communication services",[HSHO001],Double,8,1
62,HSHO002,Domestic and other custodial services (excluding child care),Household Operations,5,Domestic and other custodial services (excluding child care),[HSHO001],Double,8,1
63,HSHO003,Pet expenses,Household Operations,5,Pet expenses,[HSHO001],Double,8,1
64,HSHO052,Pet food and pet-related goods,Household Operations,6,Pet food and pet-related goods,[HSHO001],Double,8,1
65,HSHO050,Purchase of pets,Household Operations,6,Purchase of pets,[HSHO001],Double,8,1
66,HSHO006,Veterinarian and other services,Household Operations,6,Veterinarian and other services,[HSHO001],Double,8,1
67,HSCC001,Child care,Household Operations,5,Child care,[HSHO001],Double,8,1
68,HSCC021,Child care outside the home,Household Operations,6,Child care outside the home,[HSHO001],Double,8,1
69,HSCC022,Child care in the home,Household Operations,6,Child care in the home,[HSHO001],Double,8,1
70,HSHF001,Household furnishings and equipment,House Furnishings,4,Household furnishings and equipment,[HSHF001],Double,8,1
71,HSHF002,Household furnishings,House Furnishings,5,Household furnishings,[HSHF001],Double,8,1
72,HSHF003,Furniture,House Furnishings,6,Furniture,[HSHF001],Double,8,1
73,HSHF004,"Rugs, mats and under-padding",House Furnishings,6,"Rugs, mats and under-padding",[HSHF001],Double,8,1
74,HSHF005A,"Works of art, carvings and other decorative ware",House Furnishings,6,"Works of art, carvings and other decorative ware",[HSHF001],Double,8,1
75,HSHF006,Linens,House Furnishings,6,Linens,[HSHF001],Double,8,1
76,HSHF008,"Other household furnishings (curtains, mirrors and picture frames)",House Furnishings,6,"Other household furnishings (curtains, mirrors and picture frames)",[HSHF001],Double,8,1
77,HSHF007,Lamps and lampshades,House Furnishings,7,Lamps and lampshades,[HSHF001],Double,8,1
78,HSHF008B,Curtains and interior blinds,House Furnishings,7,Curtains and interior blinds,[HSHF001],Double,8,1
79,HSHF008C,"Glass mirrors, mirrors and picture frames",House Furnishings,7,"Glass mirrors, mirrors and picture frames",[HSHF001],Double,8,1
80,HSHF008A,All other household furnishings,House Furnishings,7,All other household furnishings,[HSHF001],Double,8,1
81,HSHE001,Household equipment,House Furnishings,5,Household equipment,[HSHF001],Double,8,1
82,HSHE002,Household appliances,House Furnishings,6,Household appliances,[HSHF001],Double,8,1
83,HSHE008,"Room air conditioners, portable humidifiers and dehumidifiers",House Furnishings,7,"Room air conditioners, portable humidifiers and dehumidifiers",[HSHF001],Double,8,1
84,HSHE050,Refrigerators and freezers,House Furnishings,7,Refrigerators and freezers,[HSHF001],Double,8,1
85,HSHE051,Microwave ovens and cooking appliances,House Furnishings,7,Microwave ovens and cooking appliances,[HSHF001],Double,8,1
86,HSHE052,"Washers, dryers and dishwashers",House Furnishings,7,"Washers, dryers and dishwashers",[HSHF001],Double,8,1
87,HSHE009,Other electric equipment and appliances,House Furnishings,7,Other electric equipment and appliances,[HSHF001],Double,8,1
88,HSHE009A,All other electric equipment and appliances,House Furnishings,8,All other electric equipment and appliances,[HSHF001],Double,8,1
89,HSHE009B,Small electric food preparation appliances,House Furnishings,8,Small electric food preparation appliances,[HSHF001],Double,8,1
90,HSHE009C,"Sewing machines, vacuum cleaners and other rug cleaning equipment",House Furnishings,8,"Sewing machines, vacuum cleaners and other rug cleaning equipment",[HSHF001],Double,8,1
91,HSHE009D,Attachments and parts for major appliances,House Furnishings,8,Attachments and parts for major appliances,[HSHF001],Double,8,1
92,HSHE010,Other household equipment,House Furnishings,6,Other household equipment,[HSHF001],Double,8,1
93,HSHE011,Home and workshop tools and equipment,House Furnishings,7,Home and workshop tools and equipment,[HSHF001],Double,8,1
94,HSHE031,Power tools and equipment,House Furnishings,8,Power tools and equipment,[HSHF001],Double,8,1
95,HSHE011B,Other tools,House Furnishings,8,Other tools,[HSHF001],Double,8,1
96,HSHE011C,Hardware,House Furnishings,8,Hardware,[HSHF001],Double,8,1
97,HSHE012,"Lawn, garden and snow-removal equipment and tools",House Furnishings,7,"Lawn, garden and snow-removal equipment and tools",[HSHF001],Double,8,1
98,HSHE032,"Power lawn, garden and snow-removal equipment",House Furnishings,8,"Power lawn, garden and snow-removal equipment",[HSHF001],Double,8,1
99,HSHE012B,"Other lawn, garden and snow-removal tools and equipment attachments",House Furnishings,8,"Other lawn, garden and snow-removal tools and equipment attachments",[HSHF001],Double,8,1
100,HSHE012C,Parts and accessories for garden tools,House Furnishings,8,Parts and accessories for garden tools,[HSHF001],Double,8,1
101,HSHE013,Non-electric kitchen and cooking equipment,House Furnishings,7,Non-electric kitchen and cooking equipment,[HSHF001],Double,8,1
102,HSHE013A,Other non-electric kitchen and cooking equipment,House Furnishings,8,Other non-electric kitchen and cooking equipment,[HSHF001],Double,8,1
103,HSHE013B,"Cutlery, flatware and silverware",House Furnishings,8,"Cutlery, flatware and silverware",[HSHF001],Double,8,1
104,HSHE015,"Other household equipment, parts and accessories",House Furnishings,7,"Other household equipment, parts and accessories",[HSHF001],Double,8,1
105,HSHE014,Luggage,House Furnishings,8,Luggage,[HSHF001],Double,8,1
106,HSHE015A,"All other household equipment, parts and accessories",House Furnishings,8,"All other household equipment, parts and accessories",[HSHF001],Double,8,1
107,HSHE015B,Home security equipment,House Furnishings,8,Home security equipment,[HSHF001],Double,8,1
108,HSHE017,Maintenance/rental/repairs/services related to household furnishings/equipment,House Furnishings,5,Maintenance/rental/repairs/services related to household furnishings/equipment,[HSHF001],Double,8,1
109,HSHE020,Services related to household furnishings and equipment,House Furnishings,5,Services related to household furnishings and equipment,[HSHF001],Double,8,1
110,HSHE023,Home security services,House Furnishings,6,Home security services,[HSHF001],Double,8,1
111,HSHE024,Rental of heating equipment,House Furnishings,6,Rental of heating equipment,[HSHF001],Double,8,1
112,HSTR001,Transportation,Transportation,4,Transportation,[HSTR001],Double,8,1
113,HSTR002,Private transportation,Transportation,5,Private transportation,[HSTR001],Double,8,1
114,HSTR003,Private use vehicles,Transportation,6,Private use vehicles,[HSTR001],Double,8,1
115,HSTR004,Purchase of vehicles,Transportation,7,Purchase of vehicles,[HSTR001],Double,8,1
116,HSTR005,Purchase of automobiles,Transportation,8,Purchase of automobiles,[HSTR001],Double,8,1
117,HSTR006,Purchase of vans and mini-vans,Transportation,8,Purchase of vans and mini-vans,[HSTR001],Double,8,1
118,HSTR007,Purchase of trucks and sports utility vehicles,Transportation,8,Purchase of trucks and sports utility vehicles,[HSTR001],Double,8,1
119,HSTR008,Accessories for vehicles,Transportation,7,Accessories for vehicles,[HSTR001],Double,8,1
120,HSTR058,Accessories for vehicles (excluding children's car and booster seats),Transportation,8,Accessories for vehicles (excluding children's car and booster seats),[HSTR001],Double,8,1
121,HSTR009,Children's car seats and booster seats,Transportation,8,Children's car seats and booster seats,[HSTR001],Double,8,1
122,HSTR010,"Regular and other leasing fees for automobiles, trucks and vans",Transportation,7,"Regular and other leasing fees for automobiles, trucks and vans",[HSTR001],Double,8,1
123,HSTR011,"Regular leasing fees for automobiles, trucks and vans",Transportation,8,"Regular leasing fees for automobiles, trucks and vans",[HSTR001],Double,8,1
124,HSTR012,Regular fees for leased automobiles,Transportation,9,Regular fees for leased automobiles,[HSTR001],Double,8,1
125,HSTR112,Regular fees for leased vans and trucks,Transportation,9,Regular fees for leased vans and trucks,[HSTR001],Double,8,1
126,HSTR013,Regular fees for leased vans,Transportation,10,Regular fees for leased vans,[HSTR001],Double,8,1
127,HSTR014,Regular fees for leased trucks,Transportation,10,Regular fees for leased trucks,[HSTR001],Double,8,1
128,HSTR015,Other leasing costs for vehicles,Transportation,8,Other leasing costs for vehicles,[HSTR001],Double,8,1
129,HSTR020,Rented vehicles,Transportation,6,Rented vehicles,[HSTR001],Double,8,1
130,HSTR030,Vehicle operations,Transportation,6,Vehicle operations,[HSTR001],Double,8,1
131,HSTR031,Vehicle registration fees,Transportation,7,Vehicle registration fees,[HSTR001],Double,8,1
132,HSTR085,Public and private vehicle insurance premiums,Transportation,7,Public and private vehicle insurance premiums,[HSTR001],Double,8,1
133,HSTR033,"Tires, batteries, and other parts and supplies for vehicles",Transportation,7,"Tires, batteries, and other parts and supplies for vehicles",[HSTR001],Double,8,1
134,HSTR034,Maintenance and repairs of vehicles,Transportation,7,Maintenance and repairs of vehicles,[HSTR001],Double,8,1
135,HSTR038,Parking costs,Transportation,7,Parking costs,[HSTR001],Double,8,1
136,HSTR039,"Drivers' licences and tests, and driving lessons",Transportation,7,"Drivers' licences and tests, and driving lessons",[HSTR001],Double,8,1
137,HSTR040,Drivers' licences and tests,Transportation,8,Drivers' licences and tests,[HSTR001],Double,8,1
138,HSTR041,Driving lessons,Transportation,8,Driving lessons,[HSTR001],Double,8,1
139,HSTR071,"Vehicle operation, security and communication services",Transportation,7,"Vehicle operation, security and communication services",[HSTR001],Double,8,1
140,HSTR036,Gas and other fuels,Transportation,7,Gas and other fuels,[HSTR001],Double,8,1
141,HSTR070,Public transportation,Transportation,5,Public transportation,[HSTR001],Double,8,1
142,HSTR051,"City or commuter bus, subway, street car and commuter train",Transportation,6,"City or commuter bus, subway, street car and commuter train",[HSTR001],Double,8,1
143,HSTR052,Taxi,Transportation,6,Taxi,[HSTR001],Double,8,1
144,HSTR059,Peer-to-peer ride services,Transportation,6,Peer-to-peer ride services,[HSTR001],Double,8,1
145,HSTR053,Other local passenger transportation,Transportation,6,Other local passenger transportation,[HSTR001],Double,8,1
146,HSTR054,Airplane,Transportation,6,Airplane,[HSTR001],Double,8,1
147,HSTR055,Inter-city bus,Transportation,6,Inter-city bus,[HSTR001],Double,8,1
148,HSTR056,Other inter-city passenger transportation services,Transportation,6,Other inter-city passenger transportation services,[HSTR001],Double,8,1
149,HSTR056A,All other inter-city passenger transportation services,Transportation,7,All other inter-city passenger transportation services,[HSTR001],Double,8,1
150,HSTR056B,Train,Transportation,7,Train,[HSTR001],Double,8,1
151,HSTR060,Household moving and storage services,Transportation,6,Household moving and storage services,[HSTR001],Double,8,1
152,HSHC001,Health care,Health Care,4,Health care,[HSHC001],Double,8,1
153,HSHC002,Direct costs to the household for health care,Health Care,5,Direct costs to the household for health care,[HSHC001],Double,8,1
154,HSHC064,"Prescribed medicines, pharmaceutical products/cannabis for medical use",Health Care,6,"Prescribed medicines, pharmaceutical products/cannabis for medical use",[HSHC001],Double,8,1
155,HSHC003,Prescribed medicines and pharmaceutical products,Health Care,7,Prescribed medicines and pharmaceutical products,[HSHC001],Double,8,1
156,HSHC063,Cannabis for medical use,Health Care,7,Cannabis for medical use,[HSHC001],Double,8,1
157,HSHC004,Non-prescribed medicines/pharmaceutical products/health care supplies,Health Care,6,Non-prescribed medicines/pharmaceutical products/health care supplies,[HSHC001],Double,8,1
158,HSHC044,Health care supplies and equipment,Health Care,7,Health care supplies and equipment,[HSHC001],Double,8,1
159,HSHC041,Health care equipment,Health Care,8,Health care equipment,[HSHC001],Double,8,1
160,HSHC053,Other health care equipment,Health Care,9,Other health care equipment,[HSHC001],Double,8,1
161,HSHC052,Major health care equipment,Health Care,9,Major health care equipment,[HSHC001],Double,8,1
162,HSHC040,Health care supplies,Health Care,8,Health care supplies,[HSHC001],Double,8,1
163,HSHC004A,Non-prescribed medicines and pharmaceutical products,Health Care,7,Non-prescribed medicines and pharmaceutical products,[HSHC001],Double,8,1
164,HSHC005,Health care services,Health Care,6,Health care services,[HSHC001],Double,8,1
165,HSHC006,Health care practitioners (excluding general practitioners/specialists),Health Care,7,Health care practitioners (excluding general practitioners/specialists),[HSHC001],Double,8,1
166,HSHC006A,Health care practitioners in the home,Health Care,8,Health care practitioners in the home,[HSHC001],Double,8,1
167,HSHC006B,Health care practitioners outside the home,Health Care,8,Health care practitioners outside the home,[HSHC001],Double,8,1
168,HSHC007,Health care by general practitioners and specialists,Health Care,7,Health care by general practitioners and specialists,[HSHC001],Double,8,1
169,HSHC008,"Weight control programs, quit-smoking programs/other medical services",Health Care,7,"Weight control programs, quit-smoking programs/other medical services",[HSHC001],Double,8,1
170,HSHC009,"Hospital care, nursing homes, and other residential care facilities",Health Care,7,"Hospital care, nursing homes, and other residential care facilities",[HSHC001],Double,8,1
171,HSHC010,Eye-care goods and services,Health Care,6,Eye-care goods and services,[HSHC001],Double,8,1
172,HSHC012,Prescription eye wear,Health Care,7,Prescription eye wear,[HSHC001],Double,8,1
173,HSHC014,Eye-care services,Health Care,7,Eye-care services,[HSHC001],Double,8,1
174,HSHC027,Non-prescription eye wear and other eye-care goods,Health Care,7,Non-prescription eye wear and other eye-care goods,[HSHC001],Double,8,1
175,HSHC026,Non-prescription eye wear (including sunglasses),Health Care,8,Non-prescription eye wear (including sunglasses),[HSHC001],Double,8,1
176,HSHC013,Other eye-care goods,Health Care,8,Other eye-care goods,[HSHC001],Double,8,1
177,HSHC015,Dental services,Health Care,6,Dental services,[HSHC001],Double,8,1
178,HSHC022,Private health insurance plan premiums,Health Care,5,Private health insurance plan premiums,[HSHC001],Double,8,1
179,HSHC061,Private health and dental plan premiums,Health Care,6,Private health and dental plan premiums,[HSHC001],Double,8,1
180,HSHC025,Accident or disability insurance premiums,Health Care,6,Accident or disability insurance premiums,[HSHC001],Double,8,1
181,HSPC001,Personal care,Personal Care,4,Personal care,[HSPC001],Double,8,1
182,HSPC002,Personal care products,Personal Care,5,Personal care products,[HSPC001],Double,8,1
183,HSPC003,Hair care products,Personal Care,6,Hair care products,[HSPC001],Double,8,1
184,HSPC004,"Makeup, skin care, manicure and fragrance products",Personal Care,6,"Makeup, skin care, manicure and fragrance products",[HSPC001],Double,8,1
185,HSPC004A,"Makeup, skin care and manicure products",Personal Care,7,"Makeup, skin care and manicure products",[HSPC001],Double,8,1
186,HSPC004B,Fragrance products,Personal Care,7,Fragrance products,[HSPC001],Double,8,1
187,HSPC005,Personal deodorants,Personal Care,6,Personal deodorants,[HSPC001],Double,8,1
188,HSPC006,Body soaps,Personal Care,6,Body soaps,[HSPC001],Double,8,1
189,HSPC007,Oral hygiene products,Personal Care,6,Oral hygiene products,[HSPC001],Double,8,1
190,HSPC008,Disposable diapers,Personal Care,6,Disposable diapers,[HSPC001],Double,8,1
191,HSPC030,Other personal care supplies and equipment,Personal Care,6,Other personal care supplies and equipment,[HSPC001],Double,8,1
192,HSPC009,Electric hair-styling and personal care appliances,Personal Care,7,Electric hair-styling and personal care appliances,[HSPC001],Double,8,1
193,HSPC011,Feminine hygiene products,Personal Care,7,Feminine hygiene products,[HSPC001],Double,8,1
194,HSPC012,All other personal care supplies and equipment,Personal Care,7,All other personal care supplies and equipment,[HSPC001],Double,8,1
195,HSPC020,Personal care services,Personal Care,5,Personal care services,[HSPC001],Double,8,1
196,HSPC021,Hair grooming services,Personal Care,6,Hair grooming services,[HSPC001],Double,8,1
197,HSPC023,Other personal care services,Personal Care,6,Other personal care services,[HSPC001],Double,8,1
198,HSRE001,Recreation,Recreation,4,Recreation,[HSRE001],Double,8,1
199,HSRE030,Recreational equipment and related services,Recreation,5,Recreational equipment and related services,[HSRE001],Double,8,1
200,HSRE125,"Sports, athletic and recreational equipment and related services",Recreation,6,"Sports, athletic and recreational equipment and related services",[HSRE001],Double,8,1
201,HSRE128,"Rental, maintenance/repairs of sports, athletic/recreational equipment",Recreation,7,"Rental, maintenance/repairs of sports, athletic/recreational equipment",[HSRE001],Double,8,1
202,HSRE003,"Sports, athletic and recreation equipment",Recreation,7,"Sports, athletic and recreation equipment",[HSRE001],Double,8,1
203,HSRE010,Computer equipment and supplies,Recreation,6,Computer equipment and supplies,[HSRE001],Double,8,1
204,HSRE012,Computer software and video game systems,Recreation,7,Computer software and video game systems,[HSRE001],Double,8,1
205,HSRE013,Computer software,Recreation,8,Computer software,[HSRE001],Double,8,1
206,HSRE014,Video game systems and parts for personal computers,Recreation,8,Video game systems and parts for personal computers,[HSRE001],Double,8,1
207,HSRE111,App downloads,Recreation,8,App downloads,[HSRE001],Double,8,1
208,HSRE112,Game downloads,Recreation,8,Game downloads,[HSRE001],Double,8,1
209,HSRE015,Computer supplies and other equipment,Recreation,7,Computer supplies and other equipment,[HSRE001],Double,8,1
210,HSRE011,Computer hardware,Recreation,7,Computer hardware,[HSRE001],Double,8,1
211,HSRE110,Tablet computers,Recreation,7,Tablet computers,[HSRE001],Double,8,1
212,HSRE114,E-book readers,Recreation,7,E-book readers,[HSRE001],Double,8,1
213,HSRE119,Wearable electronic devices,Recreation,7,Wearable electronic devices,[HSRE001],Double,8,1
214,HSRE016,Photographic goods and services,Recreation,6,Photographic goods and services,[HSRE001],Double,8,1
215,HSRE120,"Camcorders, cameras, parts, accessories and related equipment",Recreation,7,"Camcorders, cameras, parts, accessories and related equipment",[HSRE001],Double,8,1
216,HSRE020,Photographic services,Recreation,7,Photographic services,[HSRE001],Double,8,1
217,HSRE004,Outdoor play equipment and accessories,Recreation,6,Outdoor play equipment and accessories,[HSRE001],Double,8,1
218,HSRE005,Children's toys,Recreation,6,Children's toys,[HSRE001],Double,8,1
219,HSRE006,Video game systems and accessories,Recreation,6,Video game systems and accessories,[HSRE001],Double,8,1
220,HSRE007,Art and craft materials,Recreation,6,Art and craft materials,[HSRE001],Double,8,1
221,HSRE032,Other recreational equipment,Recreation,6,Other recreational equipment,[HSRE001],Double,8,1
222,HSRE021,"Musical instruments, parts and accessories",Recreation,7,"Musical instruments, parts and accessories",[HSRE001],Double,8,1
223,HSRE023,"Camping, picnic equipment and accessories",Recreation,7,"Camping, picnic equipment and accessories",[HSRE001],Double,8,1
224,HSRE024,Supplies and parts for recreational equipment,Recreation,7,Supplies and parts for recreational equipment,[HSRE001],Double,8,1
225,HSRE040,Home entertainment equipment and services,Recreation,5,Home entertainment equipment and services,[HSRE001],Double,8,1
226,HSRE041,Home entertainment equipment,Recreation,6,Home entertainment equipment,[HSRE001],Double,8,1
227,HSRE080,Audio equipment (portable and non-portable) and home theatre systems,Recreation,7,Audio equipment (portable and non-portable) and home theatre systems,[HSRE001],Double,8,1
228,HSRE045,Video equipment,Recreation,7,Video equipment,[HSRE001],Double,8,1
229,HSRE082,"DVD players, Blu-Ray players and other video equipment and accessories",Recreation,8,"DVD players, Blu-Ray players and other video equipment and accessories",[HSRE001],Double,8,1
230,HSRE116,Televisions,Recreation,8,Televisions,[HSRE001],Double,8,1
231,HSRE076,"Pre-recorded media, music downloads and blank audio and video media",Recreation,7,"Pre-recorded media, music downloads and blank audio and video media",[HSRE001],Double,8,1
232,HSRE050,"Pre-recorded audio and video cassette tapes, compact discs and DVDs",Recreation,8,"Pre-recorded audio and video cassette tapes, compact discs and DVDs",[HSRE001],Double,8,1
233,HSRE051M,"Blank audio and video tapes, CDs, DVDs and iTunes and other music downloads",Recreation,8,"Blank audio and video tapes, CDs, DVDs and iTunes and other music downloads",[HSRE001],Double,8,1
234,HSRE052,Home entertainment services,Recreation,6,Home entertainment services,[HSRE001],Double,8,1
235,HSRE060,Recreational services,Recreation,5,Recreational services,[HSRE001],Double,8,1
236,HSRE061,Entertainment,Recreation,6,Entertainment,[HSRE001],Double,8,1
237,HSRE067,Television and satellite radio services,Recreation,7,Television and satellite radio services,[HSRE001],Double,8,1
238,HSRE062,Movie theatres,Recreation,7,Movie theatres,[HSRE001],Double,8,1
239,HSRE063,Live sporting and performing arts events,Recreation,7,Live sporting and performing arts events,[HSRE001],Double,8,1
240,HSRE064,Live sporting events,Recreation,8,Live sporting events,[HSRE001],Double,8,1
241,HSRE065,Live performing arts events,Recreation,8,Live performing arts events,[HSRE001],Double,8,1
242,HSRE066,"Admission fees to museums, zoos, and other sites",Recreation,7,"Admission fees to museums, zoos, and other sites",[HSRE001],Double,8,1
243,HSRE091,Use of recreational facilities and fees - other recreational activities,Recreation,6,Use of recreational facilities and fees - other recreational activities,[HSRE001],Double,8,1
244,HSRE146,Sporting services,Recreation,7,Sporting services,[HSRE001],Double,8,1
245,HSRE073,Children's camps,Recreation,7,Children's camps,[HSRE001],Double,8,1
246,HSRE074,Package trips,Recreation,6,Package trips,[HSRE001],Double,8,1
247,HSRE142,Other recreational services,Recreation,6,Other recreational services,[HSRE001],Double,8,1
248,HSRV001,Recreational vehicles and associated services,Recreation,5,Recreational vehicles and associated services,[HSRE001],Double,8,1
249,HSRV020,Purchase of recreational vehicles,Recreation,6,Purchase of recreational vehicles,[HSRE001],Double,8,1
250,HSRV003,Purchase of motorcycles and snowmobiles,Recreation,7,Purchase of motorcycles and snowmobiles,[HSRE001],Double,8,1
251,HSRV003A,Purchase of motorcycles,Recreation,8,Purchase of motorcycles,[HSRE001],Double,8,1
252,HSRV003B,Purchase of snowmobiles,Recreation,8,Purchase of snowmobiles,[HSRE001],Double,8,1
253,HSRV004,Purchase of all-terrain vehicles,Recreation,7,Purchase of all-terrain vehicles,[HSRE001],Double,8,1
254,HSRV007,Purchase of bicycles,Recreation,7,Purchase of bicycles,[HSRE001],Double,8,1
