Order,Variable,Description,Category,Hierarchy Level,Hierarchy Description,RootFormula,Type,Size,Part
255,HSRV005,Purchase of other recreational vehicles,Recreation,7,Purchase of other recreational vehicles,[HSRE001],Double,8,1
256,HSRV005B,Purchase of fifth wheel/travel trailers,Recreation,8,Purchase of fifth wheel/travel trailers,[HSRE001],Double,8,1
257,HSRV005M1,Non-motorized watercrafts and Motorized watercrafts,Recreation,8,Non-motorized watercrafts and Motorized watercrafts,[HSRE001],Double,8,1
258,HSRV005M2,"Tent trailers, travel trailers, truck campers, motorhomes, utility trailers and other types of recreational vehicles",Recreation,8,"Tent trailers, travel trailers, truck campers, motorhomes, utility trailers and other types of recreational vehicles",[HSRE001],Double,8,1
259,HSRV010,Operation of recreational vehicles,Recreation,6,Operation of recreational vehicles,[HSRE001],Double,8,1
260,HSRV011,Insurance premiums for recreational vehicles,Recreation,7,Insurance premiums for recreational vehicles,[HSRE001],Double,8,1
261,HSRV012,Registration fees and licenses for recreational vehicles,Recreation,7,Registration fees and licenses for recreational vehicles,[HSRE001],Double,8,1
262,HSRV016,"Parking, storage fees and other dues",Recreation,7,"Parking, storage fees and other dues",[HSRE001],Double,8,1
263,HSRV081,Other expenses for recreational vehicles,Recreation,7,Other expenses for recreational vehicles,[HSRE001],Double,8,1
264,HSRV013,Expenses for rented or leased recreational vehicles,Recreation,8,Expenses for rented or leased recreational vehicles,[HSRE001],Double,8,1
265,HSRV021,Supplies and parts for recreational vehicles,Recreation,8,Supplies and parts for recreational vehicles,[HSRE001],Double,8,1
266,HSRV022,Maintenance and repairs for recreational vehicles,Recreation,8,Maintenance and repairs for recreational vehicles,[HSRE001],Double,8,1
267,HSRO001,Reading materials and other printed matter,Reading Material,4,Reading materials and other printed matter,[HSRO001],Double,8,2
268,HSRO002,Newspapers,Reading Material,5,Newspapers,[HSRO001],Double,8,2
269,HSRO003,Magazines and periodicals,Reading Material,5,Magazines and periodicals,[HSRO001],Double,8,2
270,HSRO005,"Maps, sheet music and other printed matter",Reading Material,5,"Maps, sheet music and other printed matter",[HSRO001],Double,8,2
271,HSRO004,Books and E-Books (excluding school books),Reading Material,5,Books and E-Books (excluding school books),[HSRO001],Double,8,2
272,HSRO010,Services related to reading materials (e.g. photocopying/library fees),Reading Material,5,Services related to reading materials (e.g. photocopying/library fees),[HSRO001],Double,8,2
273,HSTA018,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Tobacco and alcohol,4,"Tobacco products, alcoholic beverages and cannabis for non-medical use",[HSTA018],Double,8,2
274,HSTA005,Alcoholic beverages,Tobacco and alcohol,5,Alcoholic beverages,[HSTA018],Double,8,2
275,HSTA006,Alcoholic beverages served on licensed premises and in restaurants,Tobacco and alcohol,6,Alcoholic beverages served on licensed premises and in restaurants,[HSTA018],Double,8,2
276,HSTA007,Alcoholic beverages purchased from stores,Tobacco and alcohol,6,Alcoholic beverages purchased from stores,[HSTA018],Double,8,2
277,HSTA009,Beer,Tobacco and alcohol,7,Beer,[HSTA018],Double,8,2
278,HSTA010,Other alcoholic beverages purchased from stores,Tobacco and alcohol,7,Other alcoholic beverages purchased from stores,[HSTA018],Double,8,2
279,HSTA008,Self-made alcoholic beverages,Tobacco and alcohol,6,Self-made alcoholic beverages,[HSTA018],Double,8,2
280,HSTA002,Tobacco products and smokers' supplies,Tobacco and alcohol,5,Tobacco products and smokers' supplies,[HSTA018],Double,8,2
281,HSTA020,Cigarettes,Tobacco and alcohol,6,Cigarettes,[HSTA018],Double,8,2
282,HSTA015,"Other tobacco products, smokers' supplies and e-cigarettes",Tobacco and alcohol,6,"Other tobacco products, smokers' supplies and e-cigarettes",[HSTA018],Double,8,2
283,HSTA016,Cannabis for non-medical use,Tobacco and alcohol,5,Cannabis for non-medical use,[HSTA018],Double,8,2
284,HSGC001,Games of chance,Games of Chance,4,Games of chance,[HSGC001],Double,8,2
285,HSGC002,Government-run lotteries,Games of Chance,5,Government-run lotteries,[HSGC001],Double,8,2
286,HSGC003,Other games of chance,Games of Chance,5,Other games of chance,[HSGC001],Double,8,2
287,HSGC010,"Casinos, bingos and gaming machines",Games of Chance,6,"Casinos, bingos and gaming machines",[HSGC001],Double,8,2
288,HSGC003A,"Casinos, slot machines, and video lottery terminals",Games of Chance,7,"Casinos, slot machines, and video lottery terminals",[HSGC001],Double,8,2
289,HSGC003B,Bingos,Games of Chance,7,Bingos,[HSGC001],Double,8,2
290,HSGC003C,Non-government lotteries and raffle tickets,Games of Chance,6,Non-government lotteries and raffle tickets,[HSGC001],Double,8,2
291,HSME001,Miscellaneous expenditures,Miscellaneous expenditures,4,Miscellaneous expenditures,[HSME001],Double,8,2
292,HSME040,Other miscellaneous goods and services,Miscellaneous expenditures,5,Other miscellaneous goods and services,[HSME001],Double,8,2
293,HSME036,Fines,Miscellaneous expenditures,6,Fines,[HSME001],Double,8,2
294,HSME012,Legal services not related to dwellings,Miscellaneous expenditures,6,Legal services not related to dwellings,[HSME001],Double,8,2
295,HSME045,Dues to unions and professional associations,Miscellaneous expenditures,6,Dues to unions and professional associations,[HSME001],Double,8,2
296,HSME014,Contributions and dues for social clubs and other organizations,Miscellaneous expenditures,6,Contributions and dues for social clubs and other organizations,[HSME001],Double,8,2
297,HSME037,Funeral services,Miscellaneous expenditures,6,Funeral services,[HSME001],Double,8,2
298,HSME016,Government services,Miscellaneous expenditures,6,Government services,[HSME001],Double,8,2
299,HSME017,Wholesale/retail memberships,Miscellaneous expenditures,6,Wholesale/retail memberships,[HSME001],Double,8,2
300,HSME024,Convenience fees,Miscellaneous expenditures,6,Convenience fees,[HSME001],Double,8,2
301,HSME021,Other goods and services,Miscellaneous expenditures,6,Other goods and services,[HSME001],Double,8,2
302,HSME019,Recycling fees and other environmental fees,Miscellaneous expenditures,6,Recycling fees and other environmental fees,[HSME001],Double,8,2
303,HSME020,Other general expenditures,Miscellaneous expenditures,6,Other general expenditures,[HSME001],Double,8,2
304,HSME039,Financial services,Miscellaneous expenditures,5,Financial services,[HSME001],Double,8,2
305,HSME030,Service charges for banks and other financial institutions,Miscellaneous expenditures,6,Service charges for banks and other financial institutions,[HSME001],Double,8,2
306,HSME038,Administration fees for brokers and stock and bond commissions,Miscellaneous expenditures,6,Administration fees for brokers and stock and bond commissions,[HSME001],Double,8,2
307,HSME006,Other financial services,Miscellaneous expenditures,6,Other financial services,[HSME001],Double,8,2
308,HSSH001,Shelter,Shelter,4,Shelter,[HSSH001],Double,8,2
309,HSSH002,Principal accommodation,Shelter,5,Principal accommodation,[HSSH001],Double,8,2
310,HSSH003,Rented principal residence,Shelter,6,Rented principal residence,[HSSH001],Double,8,2
311,HSSH004,Rent,Shelter,7,Rent,[HSSH001],Double,8,2
312,HSSH053,Annual rent payment,Shelter,8,Annual rent payment,[HSSH001],Double,8,2
313,HSSH054,Additional amounts paid to the landlord,Shelter,8,Additional amounts paid to the landlord,[HSSH001],Double,8,2
314,HSSH005,Tenants' repairs and improvements,Shelter,7,Tenants' repairs and improvements,[HSSH001],Double,8,2
315,HSSH006,Tenants' insurance premiums,Shelter,7,Tenants' insurance premiums,[HSSH001],Double,8,2
316,HSSH007,Parking at rented living quarters (excl. amounts reported with rent),Shelter,7,Parking at rented living quarters (excl. amounts reported with rent),[HSSH001],Double,8,2
317,HSSH010,Owned principal residence,Shelter,6,Owned principal residence,[HSSH001],Double,8,2
318,HSSH011,Mortgage paid on the owned principal residence,Shelter,7,Mortgage paid on the owned principal residence,[HSSH001],Double,8,2
319,HSSH013,Condominium fees for owned principal residence,Shelter,7,Condominium fees for owned principal residence,[HSSH001],Double,8,2
320,HSSH014,Property and school taxes for owned principal residence,Shelter,7,Property and school taxes for owned principal residence,[HSSH001],Double,8,2
321,HSSH015,Homeowners' property insurance for owned principal residence,Shelter,7,Homeowners' property insurance for owned principal residence,[HSSH001],Double,8,2
322,HSSH016,Other expenditures for owned principal residence,Shelter,7,Other expenditures for owned principal residence,[HSSH001],Double,8,2
323,HSSH017,Real estate commissions paid for the sale of principal residence(s),Shelter,8,Real estate commissions paid for the sale of principal residence(s),[HSSH001],Double,8,2
324,HSSH018,Legal charges related to owned principal residence,Shelter,8,Legal charges related to owned principal residence,[HSSH001],Double,8,2
325,HSSH019,Premiums for mortgage-related insurance for owned principal residence,Shelter,8,Premiums for mortgage-related insurance for owned principal residence,[HSSH001],Double,8,2
326,HSSH020,All other expenses related to the owned principal residence,Shelter,8,All other expenses related to the owned principal residence,[HSSH001],Double,8,2
327,HSSH021,"Registration fees, renewal fees and early renewal or closing penalties",Shelter,8,"Registration fees, renewal fees and early renewal or closing penalties",[HSSH001],Double,8,2
328,HSSH022,Land transfer taxes and land registration fees for purchased principial residences,Shelter,8,Land transfer taxes and land registration fees for purchased principial residences,[HSSH001],Double,8,2
329,HSSH082,Repairs and maintenance of all owned principal residences,Shelter,7,Repairs and maintenance of all owned principal residences,[HSSH001],Double,8,2
330,HSOI040Z,Spending on non-contract work/labour of total spending for repairs/maintenance,Shelter,8,Spending on non-contract work/labour of total spending for repairs/maintenance,[HSSH001],Double,8,2
331,HSOI040,Spending on contract work/labour of total spending for repairs/maintenance,Shelter,8,Spending on contract work/labour of total spending for repairs/maintenance,[HSSH001],Double,8,2
332,HSSH082B,Repairs and maintenance to owned principal residence,Shelter,7,Repairs and maintenance to owned principal residence,[HSSH001],Double,8,2
333,HSRM002A,Exterior painting or staining,Remodeling and Repairs,8,Exterior painting or staining,[HSSH001],Double,8,2
334,HSRM002B,Interior painting or wallpapering,Remodeling and Repairs,8,Interior painting or wallpapering,[HSSH001],Double,8,2
335,HSRM003A,Interior walls and ceilings,Remodeling and Repairs,8,Interior walls and ceilings,[HSSH001],Double,8,2
336,HSRM003B,Caulking and weather stripping,Remodeling and Repairs,8,Caulking and weather stripping,[HSSH001],Double,8,2
337,HSRM004,Insulation,Remodeling and Repairs,8,Insulation,[HSSH001],Double,8,2
338,HSRM005,"Fences, driveways, patios, swimming pools, hot tubs and ponds",Remodeling and Repairs,8,"Fences, driveways, patios, swimming pools, hot tubs and ponds",[HSSH001],Double,8,2
339,HSRM006,Roofs,Remodeling and Repairs,8,Roofs,[HSSH001],Double,8,2
340,HSRM007,Eavestroughing,Remodeling and Repairs,8,Eavestroughing,[HSSH001],Double,8,2
341,HSRM008M,"Exterior walls, siding, soffits, facia, chimneys and concrete basement floor",Remodeling and Repairs,8,"Exterior walls, siding, soffits, facia, chimneys and concrete basement floor",[HSSH001],Double,8,2
342,HSRM009A,Windows and exterior doors,Remodeling and Repairs,8,Windows and exterior doors,[HSSH001],Double,8,2
343,HSRM009B,Interior doors,Remodeling and Repairs,8,Interior doors,[HSSH001],Double,8,2
344,HSRM010,Hard surface flooring and wall-to-wall carpeting,Remodeling and Repairs,8,Hard surface flooring and wall-to-wall carpeting,[HSSH001],Double,8,2
345,HSRM011,Plumbing fixtures and equipment,Remodeling and Repairs,8,Plumbing fixtures and equipment,[HSSH001],Double,8,2
346,HSRM012,Septic systems and wells,Remodeling and Repairs,8,Septic systems and wells,[HSSH001],Double,8,2
347,HSRM013,Heating and/or air conditioning equipment,Remodeling and Repairs,8,Heating and/or air conditioning equipment,[HSSH001],Double,8,2
348,HSRM015M,Electrical fixtures and equipment and home security devices,Remodeling and Repairs,8,Electrical fixtures and equipment and home security devices,[HSSH001],Double,8,2
349,HSRM016,Other repairs and maintenance,Remodeling and Repairs,8,Other repairs and maintenance,[HSSH001],Double,8,2
350,HSSH030,"Water, fuel and electricity for principal accommodation",Shelter,6,"Water, fuel and electricity for principal accommodation",[HSSH001],Double,8,2
351,HSSH030A,Water and sewage for principal accommodation,Shelter,7,Water and sewage for principal accommodation,[HSSH001],Double,8,2
352,HSSH030B,Electricity for principal accommodation,Shelter,7,Electricity for principal accommodation,[HSSH001],Double,8,2
353,HSSH030C,Natural gas for principal accommodation,Shelter,7,Natural gas for principal accommodation,[HSSH001],Double,8,2
354,HSSH034,Other fuel for principal accommodation,Shelter,7,Other fuel for principal accommodation,[HSSH001],Double,8,2
355,HSSH034A,Propane for principal accommodation,Shelter,8,Propane for principal accommodation,[HSSH001],Double,8,2
356,HSSH034B,"Heating oil, wood and other fuel for principal accommodation",Shelter,8,"Heating oil, wood and other fuel for principal accommodation",[HSSH001],Double,8,2
357,HSSH040,Other accommodation,Shelter,5,Other accommodation,[HSSH001],Double,8,2
358,HSSH041,Owned secondary residences,Shelter,6,Owned secondary residences,[HSSH001],Double,8,2
359,HSSH042,Mortgage paid on owned secondary residences,Shelter,7,Mortgage paid on owned secondary residences,[HSSH001],Double,8,2
360,HSSH044,Property insurance for owned secondary residences,Shelter,7,Property insurance for owned secondary residences,[HSSH001],Double,8,2
361,HSSH046,Other expenses for owned secondary residences,Shelter,7,Other expenses for owned secondary residences,[HSSH001],Double,8,2
362,HSSH046A,Other expenses associated with owned secondary residences,Shelter,8,Other expenses associated with owned secondary residences,[HSSH001],Double,8,2
363,HSSH046B,Real estate commissions paid for the sale of secondary residence(s),Shelter,8,Real estate commissions paid for the sale of secondary residence(s),[HSSH001],Double,8,2
364,HSSH046C,Repairs and maintenance of owned secondary residences,Shelter,8,Repairs and maintenance of owned secondary residences,[HSSH001],Double,8,2
365,HSSH060,Communication and security services for owned secondary residences,Shelter,7,Communication and security services for owned secondary residences,[HSSH001],Double,8,2
366,HSSH061,"Property/school taxes, water/sewage charges for owned secondary residences",Shelter,7,"Property/school taxes, water/sewage charges for owned secondary residences",[HSSH001],Double,8,2
367,HSSH062,Electricity and fuel for owned secondary residences,Shelter,7,Electricity and fuel for owned secondary residences,[HSSH001],Double,8,2
368,HSSH047,Other owned properties,Shelter,6,Other owned properties,[HSSH001],Double,8,2
369,HSSH047A,Mortgage paid on other owned property(ies),Shelter,7,Mortgage paid on other owned property(ies),[HSSH001],Double,8,2
370,HSSH047C,Repairs and improvements of other owned property(ies),Shelter,7,Repairs and improvements of other owned property(ies),[HSSH001],Double,8,2
371,HSSH047M,Real estate commissions paid for the sale and other expenses associated with other owned property,Shelter,7,Real estate commissions paid for the sale and other expenses associated with other owned property,[HSSH001],Double,8,2
372,HSSH050,Accommodation away from home,Shelter,6,Accommodation away from home,[HSSH001],Double,8,2
373,HSSH051,Hotels and motels,Shelter,7,Hotels and motels,[HSSH001],Double,8,2
374,HSSH052,Other accommodation away from home,Shelter,7,Other accommodation away from home,[HSSH001],Double,8,2
375,HSCL030,Clothing and accessories,Clothing,4,Clothing and accessories,[HSCL030],Double,8,2
376,HSCL029,Women's and girls' wear (14 years and over),Clothing,5,Women's and girls' wear (14 years and over),[HSCL030],Double,8,2
377,HSCL027,Clothing (women and girls),Clothing,6,Clothing (women and girls),[HSCL030],Double,8,2
378,HSCL028,Footwear (women and girls),Clothing,6,Footwear (women and girls),[HSCL030],Double,8,2
379,HSCL026,Men's and boys' wear (14 years and over),Clothing,5,Men's and boys' wear (14 years and over),[HSCL030],Double,8,2
380,HSCL024,Clothing (men and boys),Clothing,6,Clothing (men and boys),[HSCL030],Double,8,2
381,HSCL025,Footwear (men and boys),Clothing,6,Footwear (men and boys),[HSCL030],Double,8,2
382,HSCL023,Children's wear (under 14 years),Clothing,5,Children's wear (under 14 years),[HSCL030],Double,8,2
383,HSCL021,Clothing and cloth diapers (children),Clothing,6,Clothing and cloth diapers (children),[HSCL030],Double,8,2
384,HSCL022,Footwear (children),Clothing,6,Footwear (children),[HSCL030],Double,8,2
385,HSCL020,Athletic footwear,Clothing,5,Athletic footwear,[HSCL030],Double,8,2
386,HSCL019,Accessories,Clothing,5,Accessories,[HSCL030],Double,8,2
387,HSCL018,Watches and jewellery,Clothing,5,Watches and jewellery,[HSCL030],Double,8,2
388,HSCL017,"Clothing material, yarn, thread and other notions",Clothing,5,"Clothing material, yarn, thread and other notions",[HSCL030],Double,8,2
389,HSCL016,Clothing services,Clothing,5,Clothing services,[HSCL030],Double,8,2
390,HSCL014,"Laundromats, dry-cleaning and laundry services",Clothing,6,"Laundromats, dry-cleaning and laundry services",[HSCL030],Double,8,2
391,HSCL015,"Services for clothing, footwear and jewellery",Clothing,6,"Services for clothing, footwear and jewellery",[HSCL030],Double,8,2
392,HSED002,Education,Education,4,Education,[HSED002],Double,8,2
393,HSED003,Tuition fees,Education,5,Tuition fees,[HSED002],Double,8,2
394,HSED004,"Tuition fees for kindergarten, elementary and secondary schools",Education,6,"Tuition fees for kindergarten, elementary and secondary schools",[HSED002],Double,8,2
395,HSED005,Tuition fees for university,Education,6,Tuition fees for university,[HSED002],Double,8,2
396,HSED006,Tuition fees for other post-secondary education,Education,6,Tuition fees for other post-secondary education,[HSED002],Double,8,2
397,HSED007,Other educational services,Education,6,Other educational services,[HSED002],Double,8,2
398,HSED008,Other courses and lessons,Education,6,Other courses and lessons,[HSED002],Double,8,2
399,HSED030,Textbooks and school supplies,Education,5,Textbooks and school supplies,[HSED002],Double,8,2
400,HSED025,School supplies,Education,6,School supplies,[HSED002],Double,8,2
401,HSED024,Textbooks,Education,6,Textbooks,[HSED002],Double,8,2
402,HSEP011,Personal insurance premiums and retirement/pension fund contributions,Premiums and pension contributions,3,Personal insurance premiums and retirement/pension fund contributions,[HSEP011],Double,8,2
403,HSEP012,Employment insurance and Quebec parental insurance premiums,Premiums and pension contributions,4,Employment insurance and Quebec parental insurance premiums,[HSEP011],Double,8,2
404,HSEP015,Retirement and pension fund payments,Premiums and pension contributions,4,Retirement and pension fund payments,[HSEP011],Double,8,2
405,HSEP013,Canada and Quebec pension plan contributions,Premiums and pension contributions,5,Canada and Quebec pension plan contributions,[HSEP011],Double,8,2
406,HSEP014,Employer pension plan contributions,Premiums and pension contributions,5,Employer pension plan contributions,[HSEP011],Double,8,2
407,HSEP007,"Premiums on life, term and endowment insurance",Premiums and pension contributions,4,"Premiums on life, term and endowment insurance",[HSEP011],Double,8,2
408,HSMG001,"Gifts of money, support payments and charitable contributions",Money Gifts,3,"Gifts of money, support payments and charitable contributions",[HSMG001],Double,8,2
409,HSMG002,Gifts of money and support payments,Money Gifts,4,Gifts of money and support payments,[HSMG001],Double,8,2
410,HSMG003,Gifts of money to persons living in Canada,Money Gifts,5,Gifts of money to persons living in Canada,[HSMG001],Double,8,2
411,HSMG004,Gifts of money to persons living outside Canada,Money Gifts,5,Gifts of money to persons living outside Canada,[HSMG001],Double,8,2
412,HSMG010,Alimony and child support,Money Gifts,5,Alimony and child support,[HSMG001],Double,8,2
413,HSMG009,Charitable contributions,Money Gifts,4,Charitable contributions,[HSMG001],Double,8,2
414,HSTE001ZB,Total Non Current Consumption,Real Estate,2,Total Non Current Consumption,[HSTE001ZB],Double,8,2
415,HSWH040,Net purchase price of owned residences,Real Estate,3,Net purchase price of owned residences,[HSTE001ZB],Double,8,2
416,HSWH021,Purchase price of principal residence(s) (bought in survey year),Real Estate,4,Purchase price of principal residence(s) (bought in survey year),[HSTE001ZB],Double,8,2
417,HSWH022,Selling price of principal residence(s) (sold in survey year),Real Estate,4,Selling price of principal residence(s) (sold in survey year),[HSTE001ZB],Double,8,2
418,HSWH041,Net purchase price of owned secondary residences,Real Estate,3,Net purchase price of owned secondary residences,[HSTE001ZB],Double,8,2
419,HSWH026,Purchase price of secondary residences (bought in survey year),Real Estate,4,Purchase price of secondary residences (bought in survey year),[HSTE001ZB],Double,8,2
420,HSWH027,Selling price of secondary residences (sold in survey year),Real Estate,4,Selling price of secondary residences (sold in survey year),[HSTE001ZB],Double,8,2
421,HSWH042,Net purchase price of other owned properties,Real Estate,3,Net purchase price of other owned properties,[HSTE001ZB],Double,8,2
422,HSWH031,Purchase price of other properties (bought in survey year),Real Estate,4,Purchase price of other properties (bought in survey year),[HSTE001ZB],Double,8,2
423,HSWH032,Selling price of other properties (sold in survey year),Real Estate,4,Selling price of other properties (sold in survey year),[HSTE001ZB],Double,8,2
424,HSWH050,Owned principal residence improvements and renovations,Real Estate,3,Owned principal residence improvements and renovations,[HSTE001ZB],Double,8,2
425,HSOI030Z,Spending on non-contract work/labour of total spending on improvements/renovations,Real Estate,4,Spending on non-contract work/labour of total spending on improvements/renovations,[HSTE001ZB],Double,8,2
426,HSOI030,Spending on contract work/labour of total spending on improvements/renovations,Real Estate,4,Spending on contract work/labour of total spending on improvements/renovations,[HSTE001ZB],Double,8,2
427,HSWH028,Improvements and renovations of secondary residences,Real Estate,3,Improvements and renovations of secondary residences,[HSTE001ZB],Double,8,2
428,HSWH050B,Improvements and alterations to owned principal residence,Real Estate,3,Improvements and alterations to owned principal residence,[HSTE001ZB],Double,8,2
429,HSWH003A,Exterior additions or extensions,Real Estate,4,Exterior additions or extensions,[HSTE001ZB],Double,8,2
430,HSWH003B,Interior additions or extensions,Real Estate,4,Interior additions or extensions,[HSTE001ZB],Double,8,2
431,HSWH005,Insulation,Real Estate,4,Insulation,[HSTE001ZB],Double,8,2
432,HSWH006,"Fences, driveways, patios, swimming pools, hot tubs and major landscaping projects",Real Estate,4,"Fences, driveways, patios, swimming pools, hot tubs and major landscaping projects",[HSTE001ZB],Double,8,2
433,HSWH007,Complete re-roofing,Real Estate,4,Complete re-roofing,[HSTE001ZB],Double,8,2
434,HSWH008,Eavestroughing,Real Estate,4,Eavestroughing,[HSTE001ZB],Double,8,2
435,HSWH009M,"Concrete basement floor, exterior walls, siding, soffits, facia, chimneys and foundations",Real Estate,4,"Concrete basement floor, exterior walls, siding, soffits, facia, chimneys and foundations",[HSTE001ZB],Double,8,2
436,HSWH010A,Windows and exterior doors,Real Estate,4,Windows and exterior doors,[HSTE001ZB],Double,8,2
437,HSWH010B,Interior windows and doors,Real Estate,4,Interior windows and doors,[HSTE001ZB],Double,8,2
438,HSWH011,Hard surface flooring,Real Estate,4,Hard surface flooring,[HSTE001ZB],Double,8,2
439,HSWH012,Plumbing fixtures and equipment,Real Estate,4,Plumbing fixtures and equipment,[HSTE001ZB],Double,8,2
440,HSWH013,Septic systems and wells,Real Estate,4,Septic systems and wells,[HSTE001ZB],Double,8,2
441,HSWH014,Heating and/or air conditioning equipment,Real Estate,4,Heating and/or air conditioning equipment,[HSTE001ZB],Double,8,2
442,HSWH015,Home Security Devices,Real Estate,4,Home Security Devices,[HSTE001ZB],Double,8,2
443,HSWH016,Central vacuums,Real Estate,4,Central vacuums,[HSTE001ZB],Double,8,2
444,HSWH017,Other,Real Estate,4,Other,[HSTE001ZB],Double,8,2
445,HSWH100,Renovating/remodelling of rooms,Real Estate,4,Renovating/remodelling of rooms,[HSTE001ZB],Double,8,2
446,HSWH101,Finishing the basement,Real Estate,4,Finishing the basement,[HSTE001ZB],Double,8,2
