Variable,Description,Category,Change Type
HSRE091,Use of recreational facilities and fees - other recreational activities,Recreation,New
HSRE014,Video game systems and parts for personal computers,Recreation,New
HSRE119,Wearable electronic devices,Recreation,New
HSSH060,Communication and security services for owned secondary residences,Shelter,New
HSSH062,Electricity and fuel for owned secondary residences,Shelter,New
HSSH030B,Electricity for principal accommodation,Shelter,New
HSSH034B,"Heating oil, wood and other fuel for principal accommodation",Shelter,New
HSSH030C,Natural gas for principal accommodation,Shelter,New
HSSH046A,Other expenses associated with owned secondary residences,Shelter,New
HSSH034A,Propane for principal accommodation,Shelter,New
HSSH061,"Property/school taxes, water/sewage charges for owned secondary residences",Shelter,New
HSSH046B,Real estate commissions paid for the sale of secondary residence(s),Shelter,New
HSSH082,Repairs and maintenance of all owned principal residences,Shelter,New
HSSH082B,Repairs and maintenance to owned principal residence,Shelter,New
HSOI040,Spending on contract work/labour of total spending for repairs/maintenance,Shelter,New
HSOI040Z,Spending on non-contract work/labour of total spending for repairs/maintenance,Shelter,New
HSSH030A,Water and sewage for principal accommodation,Shelter,New
HSTA009,Beer,Tobacco and alcohol,New
HSTA016,Cannabis for non-medical use,Tobacco and alcohol,New
HSTA020,Cigarettes,Tobacco and alcohol,New
HSTA010,Other alcoholic beverages purchased from stores,Tobacco and alcohol,New
HSTA015,"Other tobacco products, smokers' supplies and e-cigarettes",Tobacco and alcohol,New
HSTA008,Self-made alcoholic beverages,Tobacco and alcohol,New
HSTA018,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Tobacco and alcohol,New
HSTR060,Household moving and storage services,Transportation,New
HSTR059,Peer-to-peer ride services,Transportation,New
HSTR085,Public and private vehicle insurance premiums,Transportation,New
HSTR070,Public transportation,Transportation,New
HSTR014,Regular fees for leased trucks,Transportation,New
HSTR013,Regular fees for leased vans,Transportation,New
HSTR112,Regular fees for leased vans and trucks,Transportation,New
HSTR071,"Vehicle operation, security and communication services",Transportation,New
HSCM001J,Boys (aged 4 to 14): Accessories,Clothing,No Longer Available
HSCM001H,Boys (aged 4 to 14): Athletic footwear,Clothing,No Longer Available
HSCM001G,Boys (aged 4 to 14): Clothing,Clothing,No Longer Available
HSCM001I,Boys (aged 4 to 14): Other footwear,Clothing,No Longer Available
HSCM001M,Boys (aged 4 to 14): Watches and Jewellery,Clothing,No Longer Available
HSCI002,Children's clothing (under 4 years old),Clothing,No Longer Available
HSCI004,Children's footwear (under 4 years old),Clothing,No Longer Available
HSCI001,Children's wear (under 4 years),Clothing,No Longer Available
HSCL001,Clothing,Clothing,No Longer Available
HSCL007,"Clothing fabric, yarn, thread, and other notions",Clothing,No Longer Available
HSCT010,Clothing gifts to non-household members,Clothing,No Longer Available
HSCL013,"Clothing rental, tailoring, alteration and other services",Clothing,No Longer Available
HSCL010,Clothing services,Clothing,No Longer Available
HSCT013,"Gifts of clothing, accessories or jewellery for non-household members",Clothing,No Longer Available
HSCT011,Gifts of footwear for non-household members (aged 12 and under),Clothing,No Longer Available
HSCT012,Gifts of footwear for non-household members (aged 13 and over),Clothing,No Longer Available
HSCF001J,Girls (aged 4 to 14): Accessories,Clothing,No Longer Available
HSCF001H,Girls (aged 4 to 14): Athletic footwear,Clothing,No Longer Available
HSCF001G,Girls (aged 4 to 14): Clothing,Clothing,No Longer Available
HSCF001I,Girls (aged 4 to 14): Other footwear,Clothing,No Longer Available
HSCF001M,Girls (aged 4 to 14): Watches and Jewellery,Clothing,No Longer Available
HSCL012,Laundromats and self-service dry cleaning,Clothing,No Longer Available
HSCL011,Laundry and dry-cleaning services,Clothing,No Longer Available
